Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
FAY99780_pass_barcode08_98e12ebb_5ad7f319_0	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.4666643419002636)	(26.0, 0.4666643419002636)	(27.0, 0.629996861565356)	(28.0, 1.854990759053548)	(29.0, 2.2401501306403553)	(30.0, 1.2818117962585163)	(31.0, 1.8990814484993193)	(32.0, 3.2969630477683878)	(33.0, 2.8878644014996824)	(34.0, 5.589012561440354)	(35.0, 7.918850150395093)	(36.0, 5.5636944340357015)	(37.0, 4.432671918474321)	(38.0, 8.485325300709441)	(39.0, 9.01667956786662)	(40.0, 6.22794877241224)	(41.0, 7.30556966668994)	(42.0, 8.5288969058142)	(43.0, 5.333306764574441)	(44.0, 3.6833149842842228)	(45.0, 3.383316478776911)	(46.0, 2.146655972741213)	(47.0, 1.3999930257007909)	(48.0, 1.8666573676010545)	(49.0, 1.8666573676010545)	(50.0, 0.827268606095922)	(51.0, 0.0)	(52.0, 0.0)	(53.0, 0.0)	(54.0, 0.0)	(55.0, 0.0)	(56.0, 0.0)	(57.0, 0.0)	(58.0, 0.0)	(59.0, 0.0)	(60.0, 0.0)	(61.0, 0.0)	(62.0, 0.0)	(63.0, 0.0)	(64.0, 0.6999965128503954)	(65.0, 0.6999965128503954)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
FAY99780_pass_barcode08_98e12ebb_5ad7f319_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.21138834156044667)	(26.0, 0.3170825123406701)	(27.0, 1.0953759517223147)	(28.0, 1.2074758298225514)	(29.0, 0.3170825123406701)	(30.0, 1.2683300493626803)	(31.0, 1.7082648770907525)	(32.0, 2.226395089175276)	(33.0, 3.1245320995669412)	(34.0, 5.8172247784449205)	(35.0, 7.007536261772852)	(36.0, 9.647169971357842)	(37.0, 13.811862986112649)	(38.0, 8.880130133162437)	(39.0, 9.086770538067295)	(40.0, 8.386899928101013)	(41.0, 4.7334975696421155)	(42.0, 4.134822199909062)	(43.0, 3.584841059751693)	(44.0, 3.7747918135794056)	(45.0, 4.343069562969178)	(46.0, 1.7968009032637968)	(47.0, 0.0)	(48.0, 0.126833004936268)	(49.0, 1.0569417078022334)	(50.0, 1.3836327811229236)	(51.0, 0.6341650246813402)	(52.0, 0.0)	(53.0, 0.0)	(54.0, 0.0)	(55.0, 0.0)	(56.0, 0.0)	(57.0, 0.0)	(58.0, 0.0)	(59.0, 0.0)	(60.0, 0.0)	(61.0, 0.0)	(62.0, 0.0)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.3170825123406701)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
FAY99780_pass_barcode08_98e12ebb_5ad7f319_10	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 1.0273755296200127)	(26.0, 1.0804013634068521)	(27.0, 0.2277126715001933)	(28.0, 0.5877833333098739)	(29.0, 1.0019357546008505)	(30.0, 1.2460152743651203)	(31.0, 1.1273913856247244)	(32.0, 1.0144901780796367)	(33.0, 3.6581285200335274)	(34.0, 3.7663513016694163)	(35.0, 5.302458770129657)	(36.0, 9.491067694476012)	(37.0, 8.216408785623393)	(38.0, 12.119130948657752)	(39.0, 10.915035378437075)	(40.0, 7.372218663934708)	(41.0, 9.163661808019599)	(42.0, 4.871684416529402)	(43.0, 3.371867243274086)	(44.0, 2.2589808614917612)	(45.0, 1.9302206920133573)	(46.0, 1.9177676552906902)	(47.0, 0.0)	(48.0, 0.0)	(49.0, 1.9725610168704242)	(50.0, 2.4657012710880304)	(51.0, 1.0045449622951235)	(52.0, 0.14943644067200185)	(53.0, 0.0)	(54.0, 0.0)	(55.0, 0.54793361579734)	(56.0, 1.3698340394933501)	(57.0, 0.8219004236960101)	(58.0, 0.0)	(59.0, 0.0)	(60.0, 0.0)	(61.0, 0.0)	(62.0, 0.0)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
FAY99780_pass_barcode08_98e12ebb_5ad7f319_100	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.13730174142011414)	(31.0, 1.0746981760247114)	(32.0, 2.8146856991123395)	(33.0, 4.271173854526026)	(34.0, 2.352679208096425)	(35.0, 7.210826478808493)	(36.0, 8.138163418794184)	(37.0, 5.032379878025305)	(38.0, 9.76009882918292)	(39.0, 12.286694714274994)	(40.0, 7.321021924138055)	(41.0, 14.421633096446044)	(42.0, 6.559070613992088)	(43.0, 1.4073428495561697)	(44.0, 0.5117610362022436)	(45.0, 1.688811419467404)	(46.0, 0.0)	(47.0, 2.8146856991123395)	(48.0, 5.629371398224679)	(49.0, 2.8146856991123395)	(50.0, 1.8764571327415596)	(51.0, 1.8764571327415596)	(52.0, 0.0)	(53.0, 0.0)	(54.0, 0.0)	(55.0, 0.0)	(56.0, 0.0)	(57.0, 0.0)	(58.0, 0.0)	(59.0, 0.0)	(60.0, 0.0)	(61.0, 0.0)	(62.0, 0.0)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
FAY99780_pass_barcode08_98e12ebb_5ad7f319_101	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.5255767508142775)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 1.445336064739263)	(31.0, 0.8259063227081501)	(32.0, 0.0)	(33.0, 4.520417548286137)	(34.0, 4.8728473039780855)	(35.0, 8.008439321647762)	(36.0, 4.709987299836156)	(37.0, 8.78489588754121)	(38.0, 7.74003001664557)	(39.0, 5.868222541062263)	(40.0, 7.7999196720109065)	(41.0, 6.835380198914458)	(42.0, 1.7644362348765028)	(43.0, 4.939192038354057)	(44.0, 4.817786882464209)	(45.0, 2.890672129478526)	(46.0, 8.672016388435576)	(47.0, 5.343363633278487)	(48.0, 0.0)	(49.0, 0.0)	(50.0, 4.817786882464209)	(51.0, 4.817786882464209)	(52.0, 0.0)	(53.0, 0.0)	(54.0, 0.0)	(55.0, 0.0)	(56.0, 0.0)	(57.0, 0.0)	(58.0, 0.0)	(59.0, 0.0)	(60.0, 0.0)	(61.0, 0.0)	(62.0, 0.0)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
FAY99780_pass_barcode08_98e12ebb_5ad7f319_102	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 3.002997269866206)	(28.0, 3.002997269866206)	(29.0, 3.670329996503141)	(30.0, 6.6733272663693475)	(31.0, 3.002997269866206)	(32.0, 0.19374175934620683)	(33.0, 0.7397412629582443)	(34.0, 1.0919990072240748)	(35.0, 3.194444424058925)	(36.0, 6.0178525561663685)	(37.0, 8.10717602397576)	(38.0, 12.999306945829625)	(39.0, 6.923775615527758)	(40.0, 6.8032028313548665)	(41.0, 8.638100748939676)	(42.0, 1.2011989079464824)	(43.0, 5.968077907537132)	(44.0, 3.7537465873327576)	(45.0, 0.0)	(46.0, 0.0)	(47.0, 0.0)	(48.0, 0.0)	(49.0, 0.0)	(50.0, 3.002997269866206)	(51.0, 3.002997269866206)	(52.0, 1.501498634933103)	(53.0, 1.501498634933103)	(54.0, 0.0)	(55.0, 0.0)	(56.0, 0.0)	(57.0, 0.0)	(58.0, 0.0)	(59.0, 0.0)	(60.0, 0.0)	(61.0, 3.002997269866206)	(62.0, 3.002997269866206)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
FAY99780_pass_barcode08_98e12ebb_5ad7f319_103	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 3.8044832693615653)	(32.0, 2.0414300469744986)	(33.0, 0.0)	(34.0, 0.5187931730947589)	(35.0, 4.13881637874279)	(36.0, 5.042530558799358)	(37.0, 6.037218358362575)	(38.0, 8.625474314188105)	(39.0, 11.136021504099814)	(40.0, 7.4338367415153)	(41.0, 1.3340395879579514)	(42.0, 6.225518077137107)	(43.0, 13.949771987659073)	(44.0, 14.926460568906464)	(45.0, 4.755604086701956)	(46.0, 2.853362452021174)	(47.0, 5.274397259796716)	(48.0, 1.9022416346807827)	(49.0, 0.0)	(50.0, 0.0)	(51.0, 0.0)	(52.0, 0.0)	(53.0, 0.0)	(54.0, 0.0)	(55.0, 0.0)	(56.0, 0.0)	(57.0, 0.0)	(58.0, 0.0)	(59.0, 0.0)	(60.0, 0.0)	(61.0, 0.0)	(62.0, 0.0)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
FAY99780_pass_barcode08_98e12ebb_5ad7f319_104	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.5799996876273102)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.9114280805572018)	(32.0, 1.494694535498337)	(33.0, 1.9268878511173975)	(34.0, 2.5887156926200454)	(35.0, 2.7114985396576756)	(36.0, 3.6722423928972834)	(37.0, 10.930957122736206)	(38.0, 18.00855912796141)	(39.0, 15.55681716158079)	(40.0, 11.350501823423981)	(41.0, 4.301664349902551)	(42.0, 1.2759993127800826)	(43.0, 2.7674270809645947)	(44.0, 0.9114280805572018)	(45.0, 5.164759123157477)	(46.0, 6.759758264132579)	(47.0, 2.1266655213001378)	(48.0, 0.0)	(49.0, 0.0)	(50.0, 0.0)	(51.0, 0.0)	(52.0, 0.0)	(53.0, 0.5799996876273102)	(54.0, 0.0)	(55.0, 0.0)	(56.0, 0.0)	(57.0, 3.1899982819502064)	(58.0, 3.1899982819502064)	(59.0, 0.0)	(60.0, 0.0)	(61.0, 0.0)	(62.0, 0.0)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
FAY99780_pass_barcode08_98e12ebb_5ad7f319_105	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.15000678776839294)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.22143859146762768)	(32.0, 0.4227464018927438)	(33.0, 1.274294806479637)	(34.0, 4.181266457304238)	(35.0, 4.76444246422463)	(36.0, 5.863570325256264)	(37.0, 4.257666389005936)	(38.0, 6.055090740823364)	(39.0, 10.375534837261643)	(40.0, 8.751537911703199)	(41.0, 10.6129802346138)	(42.0, 9.668399677461565)	(43.0, 6.350287348861968)	(44.0, 1.1625526052050452)	(45.0, 0.0)	(46.0, 2.9894209848129734)	(47.0, 4.650210420820181)	(48.0, 4.650210420820181)	(49.0, 6.975315631230272)	(50.0, 4.650210420820181)	(51.0, 0.0)	(52.0, 0.0)	(53.0, 1.9728165421661374)	(54.0, 0.0)	(55.0, 0.0)	(56.0, 0.0)	(57.0, 0.0)	(58.0, 0.0)	(59.0, 0.0)	(60.0, 0.0)	(61.0, 0.0)	(62.0, 0.0)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
FAY99780_pass_barcode08_98e12ebb_5ad7f319_106	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.6584810421868605)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.6584810421868605)	(29.0, 0.6584810421868605)	(30.0, 0.0)	(31.0, 1.0010521573352578)	(32.0, 1.013988273617721)	(33.0, 0.6584810421868605)	(34.0, 2.7297032294291674)	(35.0, 5.659576562615863)	(36.0, 4.122308161226869)	(37.0, 6.450224878122546)	(38.0, 5.91173301054151)	(39.0, 4.472646423786674)	(40.0, 12.383367315136704)	(41.0, 12.706713504650455)	(42.0, 13.52793715110902)	(43.0, 5.9562603361447835)	(44.0, 2.804958205679094)	(45.0, 0.0)	(46.0, 2.163580567185399)	(47.0, 1.9754431265605814)	(48.0, 0.0)	(49.0, 1.9754431265605814)	(50.0, 3.2924052109343025)	(51.0, 1.316962084373721)	(52.0, 0.0)	(53.0, 0.0)	(54.0, 1.9754431265605814)	(55.0, 1.9754431265605814)	(56.0, 0.0)	(57.0, 0.0)	(58.0, 1.9754431265605814)	(59.0, 1.9754431265605814)	(60.0, 0.0)	(61.0, 0.0)	(62.0, 0.0)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
