Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34
FAY99780_pass_barcode08_98e12ebb_5ad7f319_0	(14.0, 2.0)	(15.0, 4.0)	(16.0, 3.0)	(17.0, 2.0)	(18.0, 3.0)	(19.0, 6.0)	(20.0, 8.0)	(21.0, 6.0)	(22.0, 7.0)	(23.0, 13.0)	(24.0, 14.0)	(25.0, 10.0)	(26.0, 21.0)	(27.0, 16.0)	(28.0, 14.0)	(29.0, 30.0)	(30.0, 24.0)	(31.0, 33.0)	(32.0, 17.0)	(33.0, 30.0)	(34.0, 14.0)	(35.0, 5.0)	(36.0, 2.0)	(37.0, 2.0)											
FAY99780_pass_barcode08_98e12ebb_5ad7f319_1	(12.0, 2.0)	(13.0, 1.0)	(14.0, 2.0)	(15.0, 2.0)	(16.0, 1.0)	(17.0, 4.0)	(18.0, 6.0)	(19.0, 11.0)	(20.0, 10.0)	(21.0, 10.0)	(22.0, 15.0)	(23.0, 23.0)	(24.0, 11.0)	(25.0, 27.0)	(26.0, 7.0)	(27.0, 23.0)	(28.0, 33.0)	(29.0, 31.0)	(30.0, 41.0)	(31.0, 36.0)	(32.0, 41.0)	(33.0, 17.0)	(34.0, 15.0)	(35.0, 11.0)	(36.0, 5.0)	(37.0, 5.0)	(38.0, 0.0)	(39.0, 1.0)							
FAY99780_pass_barcode08_98e12ebb_5ad7f319_10	(14.0, 1.0)	(15.0, 2.0)	(16.0, 5.0)	(17.0, 5.0)	(18.0, 3.0)	(19.0, 6.0)	(20.0, 7.0)	(21.0, 11.0)	(22.0, 9.0)	(23.0, 9.0)	(24.0, 10.0)	(25.0, 13.0)	(26.0, 17.0)	(27.0, 23.0)	(28.0, 29.0)	(29.0, 31.0)	(30.0, 33.0)	(31.0, 34.0)	(32.0, 47.0)	(33.0, 23.0)	(34.0, 22.0)	(35.0, 11.0)	(36.0, 3.0)	(37.0, 2.0)											
FAY99780_pass_barcode08_98e12ebb_5ad7f319_100	(14.0, 1.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 2.0)	(18.0, 1.0)	(19.0, 1.0)	(20.0, 3.0)	(21.0, 1.0)	(22.0, 4.0)	(23.0, 2.0)	(24.0, 7.0)	(25.0, 5.0)	(26.0, 3.0)	(27.0, 11.0)	(28.0, 10.0)	(29.0, 10.0)	(30.0, 16.0)	(31.0, 8.0)	(32.0, 12.0)	(33.0, 4.0)	(34.0, 3.0)	(35.0, 7.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 1.0)									
FAY99780_pass_barcode08_98e12ebb_5ad7f319_101	(14.0, 1.0)	(15.0, 1.0)	(16.0, 2.0)	(17.0, 1.0)	(18.0, 2.0)	(19.0, 3.0)	(20.0, 2.0)	(21.0, 2.0)	(22.0, 5.0)	(23.0, 3.0)	(24.0, 4.0)	(25.0, 8.0)	(26.0, 4.0)	(27.0, 7.0)	(28.0, 3.0)	(29.0, 9.0)	(30.0, 18.0)	(31.0, 6.0)	(32.0, 18.0)	(33.0, 5.0)	(34.0, 5.0)	(35.0, 1.0)	(36.0, 1.0)												
FAY99780_pass_barcode08_98e12ebb_5ad7f319_102	(14.0, 1.0)	(15.0, 1.0)	(16.0, 1.0)	(17.0, 0.0)	(18.0, 1.0)	(19.0, 2.0)	(20.0, 2.0)	(21.0, 1.0)	(22.0, 1.0)	(23.0, 2.0)	(24.0, 3.0)	(25.0, 2.0)	(26.0, 6.0)	(27.0, 9.0)	(28.0, 5.0)	(29.0, 15.0)	(30.0, 12.0)	(31.0, 4.0)	(32.0, 7.0)	(33.0, 6.0)	(34.0, 3.0)	(35.0, 2.0)	(36.0, 0.0)	(37.0, 1.0)											
FAY99780_pass_barcode08_98e12ebb_5ad7f319_103	(10.0, 1.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 2.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 1.0)	(18.0, 2.0)	(19.0, 1.0)	(20.0, 2.0)	(21.0, 3.0)	(22.0, 2.0)	(23.0, 1.0)	(24.0, 4.0)	(25.0, 5.0)	(26.0, 2.0)	(27.0, 6.0)	(28.0, 5.0)	(29.0, 16.0)	(30.0, 11.0)	(31.0, 7.0)	(32.0, 11.0)	(33.0, 6.0)	(34.0, 3.0)	(35.0, 2.0)									
FAY99780_pass_barcode08_98e12ebb_5ad7f319_104	(16.0, 1.0)	(17.0, 0.0)	(18.0, 2.0)	(19.0, 2.0)	(20.0, 2.0)	(21.0, 5.0)	(22.0, 2.0)	(23.0, 5.0)	(24.0, 9.0)	(25.0, 6.0)	(26.0, 5.0)	(27.0, 4.0)	(28.0, 3.0)	(29.0, 13.0)	(30.0, 6.0)	(31.0, 14.0)	(32.0, 9.0)	(33.0, 10.0)	(34.0, 3.0)	(35.0, 2.0)															
FAY99780_pass_barcode08_98e12ebb_5ad7f319_105	(10.0, 1.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 2.0)	(17.0, 1.0)	(18.0, 3.0)	(19.0, 1.0)	(20.0, 2.0)	(21.0, 2.0)	(22.0, 3.0)	(23.0, 4.0)	(24.0, 5.0)	(25.0, 9.0)	(26.0, 5.0)	(27.0, 6.0)	(28.0, 10.0)	(29.0, 7.0)	(30.0, 22.0)	(31.0, 12.0)	(32.0, 11.0)	(33.0, 10.0)	(34.0, 6.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 1.0)							
FAY99780_pass_barcode08_98e12ebb_5ad7f319_106	(13.0, 1.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 2.0)	(18.0, 0.0)	(19.0, 1.0)	(20.0, 0.0)	(21.0, 1.0)	(22.0, 7.0)	(23.0, 6.0)	(24.0, 5.0)	(25.0, 6.0)	(26.0, 4.0)	(27.0, 12.0)	(28.0, 12.0)	(29.0, 17.0)	(30.0, 11.0)	(31.0, 10.0)	(32.0, 14.0)	(33.0, 7.0)	(34.0, 4.0)	(35.0, 1.0)	(36.0, 1.0)											
