Sample	Unique Reads	Duplicate Reads
FAY99780_pass_barcode08_98e12ebb_5ad7f319_0	286.0	0.0
FAY99780_pass_barcode08_98e12ebb_5ad7f319_1	391.0	0.0
FAY99780_pass_barcode08_98e12ebb_5ad7f319_10	356.0	0.0
FAY99780_pass_barcode08_98e12ebb_5ad7f319_100	112.0	0.0
FAY99780_pass_barcode08_98e12ebb_5ad7f319_101	111.0	0.0
FAY99780_pass_barcode08_98e12ebb_5ad7f319_102	87.0	0.0
FAY99780_pass_barcode08_98e12ebb_5ad7f319_103	93.0	0.0
FAY99780_pass_barcode08_98e12ebb_5ad7f319_104	103.0	0.0
FAY99780_pass_barcode08_98e12ebb_5ad7f319_105	123.0	0.0
FAY99780_pass_barcode08_98e12ebb_5ad7f319_106	122.0	0.0
FAY99780_pass_barcode08_98e12ebb_5ad7f319_107	145.0	0.0
FAY99780_pass_barcode08_98e12ebb_5ad7f319_108	94.0	0.0
FAY99780_pass_barcode08_98e12ebb_5ad7f319_109	133.0	0.0
FAY99780_pass_barcode08_98e12ebb_5ad7f319_11	288.0	0.0
FAY99780_pass_barcode08_98e12ebb_5ad7f319_110	97.0	0.0
FAY99780_pass_barcode08_98e12ebb_5ad7f319_111	118.0	0.0
FAY99780_pass_barcode08_98e12ebb_5ad7f319_112	131.0	0.0
FAY99780_pass_barcode08_98e12ebb_5ad7f319_113	63.0	0.0
FAY99780_pass_barcode08_98e12ebb_5ad7f319_114	103.0	0.0
FAY99780_pass_barcode08_98e12ebb_5ad7f319_115	149.0	0.0
FAY99780_pass_barcode08_98e12ebb_5ad7f319_116	111.0	0.0
FAY99780_pass_barcode08_98e12ebb_5ad7f319_117	113.0	0.0
FAY99780_pass_barcode08_98e12ebb_5ad7f319_118	114.0	0.0
FAY99780_pass_barcode08_98e12ebb_5ad7f319_119	125.0	0.0
FAY99780_pass_barcode08_98e12ebb_5ad7f319_12	293.0	0.0
FAY99780_pass_barcode08_98e12ebb_5ad7f319_120	132.0	0.0
FAY99780_pass_barcode08_98e12ebb_5ad7f319_121	124.0	0.0
FAY99780_pass_barcode08_98e12ebb_5ad7f319_122	87.0	0.0
FAY99780_pass_barcode08_98e12ebb_5ad7f319_123	83.0	0.0
FAY99780_pass_barcode08_98e12ebb_5ad7f319_124	111.0	0.0
FAY99780_pass_barcode08_98e12ebb_5ad7f319_125	132.0	0.0
FAY99780_pass_barcode08_98e12ebb_5ad7f319_126	117.0	0.0
FAY99780_pass_barcode08_98e12ebb_5ad7f319_127	99.0	0.0
FAY99780_pass_barcode08_98e12ebb_5ad7f319_128	91.0	0.0
FAY99780_pass_barcode08_98e12ebb_5ad7f319_129	113.0	0.0
FAY99780_pass_barcode08_98e12ebb_5ad7f319_13	256.0	0.0
FAY99780_pass_barcode08_98e12ebb_5ad7f319_130	99.0	0.0
FAY99780_pass_barcode08_98e12ebb_5ad7f319_131	86.0	0.0
FAY99780_pass_barcode08_98e12ebb_5ad7f319_132	79.0	0.0
FAY99780_pass_barcode08_98e12ebb_5ad7f319_133	117.0	0.0
FAY99780_pass_barcode08_98e12ebb_5ad7f319_134	108.0	0.0
FAY99780_pass_barcode08_98e12ebb_5ad7f319_135	123.0	0.0
FAY99780_pass_barcode08_98e12ebb_5ad7f319_136	111.0	0.0
FAY99780_pass_barcode08_98e12ebb_5ad7f319_137	115.0	0.0
FAY99780_pass_barcode08_98e12ebb_5ad7f319_138	95.0	0.0
FAY99780_pass_barcode08_98e12ebb_5ad7f319_139	86.0	0.0
FAY99780_pass_barcode08_98e12ebb_5ad7f319_14	281.0	0.0
FAY99780_pass_barcode08_98e12ebb_5ad7f319_140	103.0	0.0
FAY99780_pass_barcode08_98e12ebb_5ad7f319_141	67.0	0.0
FAY99780_pass_barcode08_98e12ebb_5ad7f319_142	72.0	0.0
FAY99780_pass_barcode08_98e12ebb_5ad7f319_143	83.0	0.0
FAY99780_pass_barcode08_98e12ebb_5ad7f319_144	105.0	0.0
FAY99780_pass_barcode08_98e12ebb_5ad7f319_145	88.0	0.0
FAY99780_pass_barcode08_98e12ebb_5ad7f319_146	80.0	0.0
FAY99780_pass_barcode08_98e12ebb_5ad7f319_147	94.0	0.0
FAY99780_pass_barcode08_98e12ebb_5ad7f319_148	86.0	0.0
FAY99780_pass_barcode08_98e12ebb_5ad7f319_149	81.0	0.0
FAY99780_pass_barcode08_98e12ebb_5ad7f319_15	261.0	0.0
FAY99780_pass_barcode08_98e12ebb_5ad7f319_150	104.0	0.0
FAY99780_pass_barcode08_98e12ebb_5ad7f319_151	79.0	0.0
FAY99780_pass_barcode08_98e12ebb_5ad7f319_152	163.0	2.0
FAY99780_pass_barcode08_98e12ebb_5ad7f319_153	17.0	0.0
FAY99780_pass_barcode08_98e12ebb_5ad7f319_16	292.0	0.0
FAY99780_pass_barcode08_98e12ebb_5ad7f319_17	253.0	0.0
FAY99780_pass_barcode08_98e12ebb_5ad7f319_18	262.0	0.0
FAY99780_pass_barcode08_98e12ebb_5ad7f319_19	246.0	0.0
FAY99780_pass_barcode08_98e12ebb_5ad7f319_2	401.0	0.0
FAY99780_pass_barcode08_98e12ebb_5ad7f319_20	290.0	0.0
FAY99780_pass_barcode08_98e12ebb_5ad7f319_21	254.0	0.0
FAY99780_pass_barcode08_98e12ebb_5ad7f319_22	248.0	0.0
