Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
FAY99780_pass_barcode08_98e12ebb_5ad7f319_0	FAY99780_pass_barcode08_98e12ebb_5ad7f319_0.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	286.0	759.2 kbp	0.0	38-40156	37.0	100.0	2676.3496503496503	499	pass	warn	pass	fail	warn	pass	warn	pass	warn	pass
FAY99780_pass_barcode08_98e12ebb_5ad7f319_1	FAY99780_pass_barcode08_98e12ebb_5ad7f319_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	391.0	1.3 Mbp	0.0	35-43093	37.0	100.0	3457.4219948849104	1499	pass	pass	pass	fail	fail	pass	warn	pass	warn	pass
FAY99780_pass_barcode08_98e12ebb_5ad7f319_10	FAY99780_pass_barcode08_98e12ebb_5ad7f319_10.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	356.0	1.4 Mbp	0.0	32-46414	37.0	100.0	3962.1629213483147	1499	pass	warn	pass	fail	fail	pass	warn	pass	warn	pass
FAY99780_pass_barcode08_98e12ebb_5ad7f319_100	FAY99780_pass_barcode08_98e12ebb_5ad7f319_100.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	112.0	469.3 kbp	0.0	83-48190	37.0	100.0	4138.75	1499	pass	warn	pass	fail	fail	pass	warn	pass	warn	pass
FAY99780_pass_barcode08_98e12ebb_5ad7f319_101	FAY99780_pass_barcode08_98e12ebb_5ad7f319_101.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	111.0	566.2 kbp	0.0	162-35779	37.0	100.0	5120.135135135135	1499	pass	warn	pass	fail	fail	pass	warn	pass	warn	pass
FAY99780_pass_barcode08_98e12ebb_5ad7f319_102	FAY99780_pass_barcode08_98e12ebb_5ad7f319_102.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	87.0	293.1 kbp	0.0	106-40089	37.0	100.0	3379.3333333333335	499	pass	pass	pass	fail	fail	pass	warn	pass	fail	pass
FAY99780_pass_barcode08_98e12ebb_5ad7f319_103	FAY99780_pass_barcode08_98e12ebb_5ad7f319_103.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	93.0	692.7 kbp	0.0	75-56138	37.0	100.0	7505.629032258064	999	pass	pass	pass	fail	fail	pass	warn	pass	fail	pass
FAY99780_pass_barcode08_98e12ebb_5ad7f319_104	FAY99780_pass_barcode08_98e12ebb_5ad7f319_104.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	103.0	405.4 kbp	0.0	66-28357	37.0	100.0	3913.864077669903	1499	pass	warn	pass	fail	fail	pass	warn	pass	warn	pass
FAY99780_pass_barcode08_98e12ebb_5ad7f319_105	FAY99780_pass_barcode08_98e12ebb_5ad7f319_105.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	123.0	534.6 kbp	0.0	83-45233	37.0	100.0	4358.178861788618	1499	pass	warn	pass	fail	fail	pass	warn	pass	warn	pass
FAY99780_pass_barcode08_98e12ebb_5ad7f319_106	FAY99780_pass_barcode08_98e12ebb_5ad7f319_106.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	122.0	480.8 kbp	0.0	37-33226	37.0	100.0	3938.9590163934427	499	pass	warn	pass	fail	fail	pass	warn	pass	warn	pass
