Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
FAY99780_pass_barcode08_98e12ebb_5ad7f319_0	0.0	37.0	2676.3496503496503	499	10.0	0.000286
FAY99780_pass_barcode08_98e12ebb_5ad7f319_1	0.0	37.0	3457.4219948849104	1499	20.0	0.00039099999999999996
FAY99780_pass_barcode08_98e12ebb_5ad7f319_10	0.0	37.0	3962.1629213483147	1499	20.0	0.000356
FAY99780_pass_barcode08_98e12ebb_5ad7f319_100	0.0	37.0	4138.75	1499	20.0	0.000112
FAY99780_pass_barcode08_98e12ebb_5ad7f319_101	0.0	37.0	5120.135135135135	1499	20.0	0.000111
FAY99780_pass_barcode08_98e12ebb_5ad7f319_102	0.0	37.0	3379.3333333333335	499	30.0	8.7e-05
FAY99780_pass_barcode08_98e12ebb_5ad7f319_103	0.0	37.0	7505.629032258064	999	30.0	9.3e-05
FAY99780_pass_barcode08_98e12ebb_5ad7f319_104	0.0	37.0	3913.864077669903	1499	20.0	0.000103
FAY99780_pass_barcode08_98e12ebb_5ad7f319_105	0.0	37.0	4358.178861788618	1499	20.0	0.00012299999999999998
FAY99780_pass_barcode08_98e12ebb_5ad7f319_106	0.0	37.0	3938.9590163934427	499	20.0	0.000122
FAY99780_pass_barcode08_98e12ebb_5ad7f319_107	0.0	37.0	7437.527586206897	999	20.0	0.000145
FAY99780_pass_barcode08_98e12ebb_5ad7f319_108	1.0638297872340416	37.0	3797.1329787234044	1499	30.0	9.4e-05
FAY99780_pass_barcode08_98e12ebb_5ad7f319_109	0.0	37.0	5016.714285714285	1499	20.0	0.000133
FAY99780_pass_barcode08_98e12ebb_5ad7f319_11	0.0	37.0	5137.230902777777	1499	20.0	0.000288
FAY99780_pass_barcode08_98e12ebb_5ad7f319_110	0.0	37.0	4454.783505154639	1499	20.0	9.7e-05
FAY99780_pass_barcode08_98e12ebb_5ad7f319_111	0.0	37.0	8893.411016949152	999	20.0	0.000118
FAY99780_pass_barcode08_98e12ebb_5ad7f319_112	0.0	36.0	4304.896946564885	999	20.0	0.00013099999999999999
FAY99780_pass_barcode08_98e12ebb_5ad7f319_113	0.0	37.0	4592.579365079365	1499	30.0	6.3e-05
FAY99780_pass_barcode08_98e12ebb_5ad7f319_114	0.0	37.0	3439.1116504854367	1499	20.0	0.000103
FAY99780_pass_barcode08_98e12ebb_5ad7f319_115	0.0	37.0	3848.1140939597317	1499	20.0	0.000149
FAY99780_pass_barcode08_98e12ebb_5ad7f319_116	0.0	36.0	6296.5990990990995	999	20.0	0.000111
FAY99780_pass_barcode08_98e12ebb_5ad7f319_117	0.0	37.0	5804.95575221239	999	20.0	0.000113
FAY99780_pass_barcode08_98e12ebb_5ad7f319_118	0.0	37.0	5648.390350877193	1499	20.0	0.00011399999999999999
FAY99780_pass_barcode08_98e12ebb_5ad7f319_119	0.0	37.0	4901.16	999	20.0	0.000125
FAY99780_pass_barcode08_98e12ebb_5ad7f319_12	0.0	37.0	5512.967576791809	999	20.0	0.00029299999999999997
FAY99780_pass_barcode08_98e12ebb_5ad7f319_120	0.0	37.0	6800.109848484848	999	20.0	0.00013199999999999998
FAY99780_pass_barcode08_98e12ebb_5ad7f319_121	0.0	37.0	3374.7580645161293	1499	20.0	0.000124
FAY99780_pass_barcode08_98e12ebb_5ad7f319_122	0.0	37.0	4437.3448275862065	1499	30.0	8.7e-05
FAY99780_pass_barcode08_98e12ebb_5ad7f319_123	0.0	37.0	4450.0722891566265	1499	30.0	8.3e-05
FAY99780_pass_barcode08_98e12ebb_5ad7f319_124	0.0	36.0	4271.635135135135	1499	20.0	0.000111
FAY99780_pass_barcode08_98e12ebb_5ad7f319_125	0.0	37.0	5115.515151515152	999	20.0	0.00013199999999999998
FAY99780_pass_barcode08_98e12ebb_5ad7f319_126	0.0	36.0	4652.32905982906	1499	20.0	0.000117
FAY99780_pass_barcode08_98e12ebb_5ad7f319_127	0.0	37.0	4909.520202020202	1499	30.0	9.9e-05
FAY99780_pass_barcode08_98e12ebb_5ad7f319_128	0.0	37.0	4112.049450549451	1499	30.0	9.099999999999999e-05
FAY99780_pass_barcode08_98e12ebb_5ad7f319_129	0.0	37.0	3746.548672566372	1499	20.0	0.000113
FAY99780_pass_barcode08_98e12ebb_5ad7f319_13	0.0	37.0	5803.40234375	999	20.0	0.000256
FAY99780_pass_barcode08_98e12ebb_5ad7f319_130	0.0	37.0	8647.0	999	30.0	9.9e-05
FAY99780_pass_barcode08_98e12ebb_5ad7f319_131	0.0	37.0	5624.790697674419	1499	30.0	8.599999999999999e-05
FAY99780_pass_barcode08_98e12ebb_5ad7f319_132	0.0	37.0	3118.1139240506327	499	30.0	7.9e-05
FAY99780_pass_barcode08_98e12ebb_5ad7f319_133	0.0	37.0	2558.136752136752	1499	20.0	0.000117
FAY99780_pass_barcode08_98e12ebb_5ad7f319_134	0.0	37.0	5164.523148148148	1499	20.0	0.000108
FAY99780_pass_barcode08_98e12ebb_5ad7f319_135	0.0	37.0	3928.520325203252	1499	20.0	0.00012299999999999998
FAY99780_pass_barcode08_98e12ebb_5ad7f319_136	0.0	37.0	3057.5675675675675	499	20.0	0.000111
FAY99780_pass_barcode08_98e12ebb_5ad7f319_137	0.0	37.0	5106.156521739131	1499	20.0	0.00011499999999999999
FAY99780_pass_barcode08_98e12ebb_5ad7f319_138	0.0	37.0	2689.8894736842103	1249	30.0	9.499999999999999e-05
FAY99780_pass_barcode08_98e12ebb_5ad7f319_139	0.0	37.0	4017.7558139534885	1499	30.0	8.599999999999999e-05
