.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
FAY99780_pass_barcode01_98e12ebb_5ad7f319_0	1	1	1	0.5	0.25	1	0.5	1	0.5	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_1	1	1	1	0.5	0.25	1	0.5	1	1	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_10	1	1	1	1	0.25	1	0.5	1	1	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_100	1	1	1	0.5	0.25	1	0.5	1	0.5	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_101	1	1	1	0.5	0.5	1	0.5	1	0.5	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_102	1	1	1	0.5	0.25	1	0.5	1	0.5	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_103	1	1	1	0.5	0.25	1	0.5	1	0.5	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_104	1	1	1	0.5	0.25	1	0.5	1	0.5	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_105	1	1	1	0.5	0.5	1	0.5	1	0.5	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_106	1	1	1	0.5	0.5	1	0.5	1	0.5	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_107	1	1	1	0.5	0.25	1	0.5	1	0.5	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_108	1	1	1	1	0.25	1	0.5	1	0.5	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_109	1	1	1	1	0.5	1	0.5	1	0.5	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_11	1	1	1	1	0.25	1	0.5	1	1	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_110	1	1	1	0.5	0.5	1	0.5	1	0.5	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_111	1	1	1	0.5	0.25	1	0.5	1	0.5	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_112	1	1	1	1	0.25	1	0.5	1	0.5	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_113	1	1	1	0.5	0.25	1	0.5	1	0.5	1
FAY99780_pass_barcode01_98e12ebb_5ad7f319_114	1	1	1	0.5	0.25	1	0.5	1	0.5	1
