Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
FAY99780_pass_barcode01_98e12ebb_5ad7f319_0	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.3333333333333333)	(27.0, 1.1792398777692894)	(28.0, 1.3383186705767351)	(29.0, 1.1972204887076467)	(30.0, 3.5451625971486678)	(31.0, 2.7179663975928823)	(32.0, 2.6716213101851216)	(33.0, 2.742750310923868)	(34.0, 4.029399105223628)	(35.0, 7.106275725146298)	(36.0, 9.134494440052876)	(37.0, 11.840553958016155)	(38.0, 12.806910142660112)	(39.0, 10.604529967570949)	(40.0, 11.118987120118927)	(41.0, 6.978743127478059)	(42.0, 4.702898366510022)	(43.0, 5.580650064137637)	(44.0, 2.6166666666666667)	(45.0, 2.207575757575757)	(46.0, 2.7222222222222223)	(47.0, 1.2916666666666665)	(48.0, 0.5)	(49.0, 0.0)	(50.0, 0.7575757575757576)	(51.0, 0.4242424242424242)	(52.0, 0.3333333333333333)	(53.0, 0.3333333333333333)	(54.0, 0.0)	(55.0, 0.0)	(56.0, 0.0)	(57.0, 0.0)	(58.0, 0.0)	(59.0, 0.0)	(60.0, 0.0)	(61.0, 0.0)	(62.0, 0.0)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.2)	(71.0, 0.3333333333333333)	(72.0, 0.3333333333333333)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
FAY99780_pass_barcode01_98e12ebb_5ad7f319_1	(0.0, 1.0)	(1.0, 1.0)	(2.0, 1.0)	(3.0, 0.5)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.26666666666666666)	(24.0, 0.25396825396825395)	(25.0, 0.4242424242424242)	(26.0, 0.13852813852813853)	(27.0, 0.6790386705258288)	(28.0, 1.6247915664582329)	(29.0, 1.6683450140867173)	(30.0, 1.3964938482354896)	(31.0, 1.9575562031046003)	(32.0, 2.343381418114669)	(33.0, 6.386129760465131)	(34.0, 8.920825159406974)	(35.0, 8.329338724639973)	(36.0, 12.833193118263319)	(37.0, 17.59501677509981)	(38.0, 16.573046493728082)	(39.0, 16.74538448511297)	(40.0, 14.522943521718872)	(41.0, 11.68361728548754)	(42.0, 8.709897556719545)	(43.0, 6.414617371875435)	(44.0, 4.10002094679514)	(45.0, 4.4678571428571425)	(46.0, 3.25)	(47.0, 1.5290123456790123)	(48.0, 1.5353535353535352)	(49.0, 1.3333333333333333)	(50.0, 1.380952380952381)	(51.0, 1.0)	(52.0, 0.6666666666666666)	(53.0, 0.9166666666666665)	(54.0, 0.0)	(55.0, 0.0)	(56.0, 0.0)	(57.0, 0.0)	(58.0, 0.0)	(59.0, 0.0)	(60.0, 0.0)	(61.0, 0.0)	(62.0, 0.0)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
FAY99780_pass_barcode01_98e12ebb_5ad7f319_10	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.18181818181818182)	(27.0, 0.5909090909090909)	(28.0, 2.3786506176750075)	(29.0, 1.930382162640227)	(30.0, 0.9891301657542781)	(31.0, 1.3789244922751973)	(32.0, 3.6532834674184516)	(33.0, 6.3076426443081415)	(34.0, 6.137100362068418)	(35.0, 9.3893512847561)	(36.0, 14.483562550376096)	(37.0, 17.41382007768954)	(38.0, 19.912137136550736)	(39.0, 16.770029410812207)	(40.0, 12.949232878413987)	(41.0, 10.05456414554157)	(42.0, 8.764369537424315)	(43.0, 5.280462329387061)	(44.0, 2.7551864565965976)	(45.0, 3.5247331548858263)	(46.0, 2.381818181818182)	(47.0, 1.8095238095238093)	(48.0, 1.655194805194805)	(49.0, 1.5)	(50.0, 0.7976190476190477)	(51.0, 0.3333333333333333)	(52.0, 0.0)	(53.0, 0.0)	(54.0, 0.5492424242424242)	(55.0, 0.3333333333333333)	(56.0, 0.0)	(57.0, 0.3333333333333333)	(58.0, 0.0)	(59.0, 0.0)	(60.0, 0.0)	(61.0, 0.0)	(62.0, 0.3333333333333333)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.5)	(73.0, 0.5)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
FAY99780_pass_barcode01_98e12ebb_5ad7f319_100	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.1446078431372549)	(28.0, 0.03225806451612903)	(29.0, 0.2159090909090909)	(30.0, 0.7065004887585532)	(31.0, 1.3338640452216806)	(32.0, 2.6057078943481384)	(33.0, 2.9028733108768336)	(34.0, 1.5155238957598816)	(35.0, 3.5420154768136953)	(36.0, 5.509445760964662)	(37.0, 7.6772857863158395)	(38.0, 7.373919152592498)	(39.0, 5.983085910353862)	(40.0, 5.283572723967903)	(41.0, 3.824196968583434)	(42.0, 3.7869450514611804)	(43.0, 4.558730158730159)	(44.0, 2.6573543432444864)	(45.0, 0.8246753246753248)	(46.0, 0.014084507042253521)	(47.0, 0.0)	(48.0, 0.3333333333333333)	(49.0, 0.047619047619047616)	(50.0, 0.047619047619047616)	(51.0, 0.0)	(52.0, 0.43333333333333335)	(53.0, 0.3333333333333333)	(54.0, 0.0)	(55.0, 0.0)	(56.0, 0.1111111111111111)	(57.0, 0.0)	(58.0, 0.5)	(59.0, 0.5)	(60.0, 0.25)	(61.0, 0.0)	(62.0, 0.0)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.3333333333333333)	(75.0, 0.3333333333333333)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
FAY99780_pass_barcode01_98e12ebb_5ad7f319_101	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.25)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.5)	(28.0, 0.5123456790123457)	(29.0, 0.5443625443625444)	(30.0, 0.38095238095238093)	(31.0, 1.2522238999272877)	(32.0, 1.4654272758303453)	(33.0, 2.3265242558411434)	(34.0, 2.726705983587213)	(35.0, 4.917767357075302)	(36.0, 5.646857439528821)	(37.0, 6.814763434927866)	(38.0, 7.267779015540206)	(39.0, 8.758789691151007)	(40.0, 6.528679561107454)	(41.0, 4.559588415065992)	(42.0, 3.380783866292665)	(43.0, 4.155194805194806)	(44.0, 2.624242424242424)	(45.0, 1.5333333333333332)	(46.0, 1.2429292929292928)	(47.0, 0.8666666666666667)	(48.0, 0.7)	(49.0, 0.532258064516129)	(50.0, 0.09090909090909091)	(51.0, 0.25)	(52.0, 0.0)	(53.0, 0.14285714285714285)	(54.0, 0.0)	(55.0, 0.14285714285714285)	(56.0, 0.0)	(57.0, 0.0)	(58.0, 0.0)	(59.0, 0.0)	(60.0, 0.3333333333333333)	(61.0, 0.0)	(62.0, 0.0)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
FAY99780_pass_barcode01_98e12ebb_5ad7f319_102	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.5)	(25.0, 0.5)	(26.0, 0.0)	(27.0, 0.09090909090909091)	(28.0, 0.09090909090909091)	(29.0, 0.25)	(30.0, 0.9629401517979346)	(31.0, 1.049628547071002)	(32.0, 1.4594117899340358)	(33.0, 1.3104431694714935)	(34.0, 1.8244445903598108)	(35.0, 2.708579007802743)	(36.0, 3.929252951389998)	(37.0, 6.167835519743685)	(38.0, 8.017374707309594)	(39.0, 6.088169350007237)	(40.0, 4.703487058412405)	(41.0, 3.71154920840685)	(42.0, 4.254372061630126)	(43.0, 2.307323232323232)	(44.0, 1.3484848484848484)	(45.0, 0.5)	(46.0, 1.5)	(47.0, 1.3333333333333333)	(48.0, 0.4583333333333333)	(49.0, 0.024390243902439025)	(50.0, 0.25)	(51.0, 0.0)	(52.0, 0.3333333333333333)	(53.0, 0.3333333333333333)	(54.0, 0.0)	(55.0, 0.0)	(56.0, 0.0)	(57.0, 0.0)	(58.0, 0.0)	(59.0, 0.0)	(60.0, 0.0)	(61.0, 0.0)	(62.0, 0.0)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.2)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
FAY99780_pass_barcode01_98e12ebb_5ad7f319_103	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.3333333333333333)	(27.0, 0.03225806451612903)	(28.0, 0.01639344262295082)	(29.0, 0.8329725829725829)	(30.0, 1.0629302391597473)	(31.0, 0.8630213153963104)	(32.0, 1.0308017602719977)	(33.0, 2.410602633547056)	(34.0, 2.8994730420379513)	(35.0, 2.8359747494329617)	(36.0, 4.964200173487228)	(37.0, 6.072968366969857)	(38.0, 7.961902037426866)	(39.0, 7.919612468038954)	(40.0, 8.388361954378453)	(41.0, 5.694075459414006)	(42.0, 3.891273360785555)	(43.0, 2.980206435043797)	(44.0, 1.3392857142857142)	(45.0, 0.9318181818181819)	(46.0, 0.4242424242424242)	(47.0, 0.7492424242424243)	(48.0, 0.0)	(49.0, 0.8885281385281385)	(50.0, 1.2976190476190477)	(51.0, 0.7575757575757576)	(52.0, 0.0)	(53.0, 0.09090909090909091)	(54.0, 0.3333333333333333)	(55.0, 0.3333333333333333)	(56.0, 0.0)	(57.0, 0.0)	(58.0, 0.0)	(59.0, 0.0)	(60.0, 0.0)	(61.0, 0.0)	(62.0, 0.0)	(63.0, 0.0)	(64.0, 0.1111111111111111)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
FAY99780_pass_barcode01_98e12ebb_5ad7f319_104	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.5)	(21.0, 1.0)	(22.0, 1.0)	(23.0, 0.5)	(24.0, 0.0)	(25.0, 0.5909090909090909)	(26.0, 1.0)	(27.0, 0.5)	(28.0, 0.5909090909090909)	(29.0, 0.5)	(30.0, 0.0)	(31.0, 0.11811763025243874)	(32.0, 0.6505320349791431)	(33.0, 1.0479457733403217)	(34.0, 1.307254317394555)	(35.0, 3.4115339958864506)	(36.0, 5.027640309859174)	(37.0, 5.802404356496435)	(38.0, 6.633146573629804)	(39.0, 5.312002439965866)	(40.0, 4.934788792810179)	(41.0, 3.1033740148782702)	(42.0, 5.751483104472541)	(43.0, 3.6887154959735606)	(44.0, 1.0333333333333332)	(45.0, 0.4242424242424242)	(46.0, 0.7465437788018433)	(47.0, 0.7575757575757576)	(48.0, 0.6666666666666666)	(49.0, 1.1642857142857141)	(50.0, 0.2)	(51.0, 0.0)	(52.0, 0.0)	(53.0, 0.0)	(54.0, 0.0)	(55.0, 0.0)	(56.0, 0.0)	(57.0, 0.0)	(58.0, 0.0)	(59.0, 0.0)	(60.0, 0.0)	(61.0, 0.0)	(62.0, 0.0)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 0.5)	(66.0, 0.5)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
FAY99780_pass_barcode01_98e12ebb_5ad7f319_105	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.39070788366563014)	(28.0, 0.37662337662337664)	(29.0, 0.7339240433689482)	(30.0, 1.2125106999214361)	(31.0, 1.2022166812370454)	(32.0, 1.484021935503496)	(33.0, 2.782909441683685)	(34.0, 3.8316809061787236)	(35.0, 4.0451752547294495)	(36.0, 7.148012835691245)	(37.0, 9.51449596379823)	(38.0, 11.441390836369665)	(39.0, 9.169879682273425)	(40.0, 6.1070483597611895)	(41.0, 6.166607410422547)	(42.0, 6.399445796614538)	(43.0, 4.897642307266721)	(44.0, 3.9020202020202026)	(45.0, 4.024675324675325)	(46.0, 2.7857142857142856)	(47.0, 1.226190476190476)	(48.0, 1.4642857142857144)	(49.0, 0.7142857142857143)	(50.0, 0.5)	(51.0, 0.047619047619047616)	(52.0, 0.0)	(53.0, 0.09090909090909091)	(54.0, 0.09090909090909091)	(55.0, 0.0)	(56.0, 0.0)	(57.0, 0.0)	(58.0, 0.0)	(59.0, 0.0)	(60.0, 0.0)	(61.0, 0.0)	(62.0, 0.0)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
FAY99780_pass_barcode01_98e12ebb_5ad7f319_106	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.5)	(26.0, 0.7159090909090909)	(27.0, 0.0)	(28.0, 0.34090909090909094)	(29.0, 0.789076246334311)	(30.0, 1.167929292929293)	(31.0, 1.6016441342272336)	(32.0, 1.7234084334676396)	(33.0, 1.8414220394001992)	(34.0, 2.4611214785953686)	(35.0, 5.336856301564111)	(36.0, 8.322054602896548)	(37.0, 7.943406554472212)	(38.0, 8.607153843872275)	(39.0, 8.9533985777471)	(40.0, 5.772017866159411)	(41.0, 5.642801175753583)	(42.0, 4.843481181188363)	(43.0, 5.072645372645372)	(44.0, 2.2090090090090087)	(45.0, 1.1944444444444444)	(46.0, 1.95)	(47.0, 0.7976190476190477)	(48.0, 0.6428571428571428)	(49.0, 0.75)	(50.0, 0.25)	(51.0, 0.0)	(52.0, 0.0)	(53.0, 0.0)	(54.0, 0.0)	(55.0, 0.0)	(56.0, 0.0)	(57.0, 0.0)	(58.0, 0.0)	(59.0, 0.0)	(60.0, 0.0)	(61.0, 0.0)	(62.0, 0.0)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
