Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
FAY99780_pass_barcode01_98e12ebb_5ad7f319_0	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.2984655763890273)	(27.0, 1.0558875294580115)	(28.0, 1.1983261602176463)	(29.0, 1.0719873096806423)	(30.0, 3.1743269938523953)	(31.0, 2.433658222390704)	(32.0, 2.3921609827128325)	(33.0, 2.455849657323229)	(34.0, 3.6079107793260032)	(35.0, 6.36293604085543)	(36.0, 8.178996444218242)	(37.0, 10.601993285534013)	(38.0, 11.467265452474592)	(39.0, 9.495261447317331)	(40.0, 9.955904699005401)	(41.0, 6.248743770041107)	(42.0, 4.2109598149782865)	(43.0, 4.9968958140549065)	(44.0, 2.342954774653865)	(45.0, 1.9766561127218762)	(46.0, 2.4374688738437236)	(47.0, 1.1565541085074809)	(48.0, 0.44769836458354106)	(49.0, 0.0)	(50.0, 0.6783308554296076)	(51.0, 0.37986527904058026)	(52.0, 0.2984655763890273)	(53.0, 0.2984655763890273)	(54.0, 0.0)	(55.0, 0.0)	(56.0, 0.0)	(57.0, 0.0)	(58.0, 0.0)	(59.0, 0.0)	(60.0, 0.0)	(61.0, 0.0)	(62.0, 0.0)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.17907934583341642)	(71.0, 0.2984655763890273)	(72.0, 0.2984655763890273)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
FAY99780_pass_barcode01_98e12ebb_5ad7f319_1	(0.0, 0.6129445849303405)	(1.0, 0.6129445849303405)	(2.0, 0.6129445849303405)	(3.0, 0.30647229246517027)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.16345188931475746)	(24.0, 0.15566846601405473)	(25.0, 0.26003709663711416)	(26.0, 0.08491007237130259)	(27.0, 0.41621307605710434)	(28.0, 0.9959071923010593)	(29.0, 1.022603042179986)	(30.0, 0.8559733421644763)	(31.0, 1.1998734743897626)	(32.0, 1.4363629506597686)	(33.0, 3.914343655339595)	(34.0, 5.467971474568847)	(35.0, 5.10542306731866)	(36.0, 7.866036229204814)	(37.0, 10.784770254055932)	(38.0, 10.158359104129396)	(39.0, 10.263992742726536)	(40.0, 8.901759588886753)	(41.0, 7.161409947538113)	(42.0, 5.338684542689249)	(43.0, 3.9318049824911405)	(44.0, 2.513085637439049)	(45.0, 2.7385488419566286)	(46.0, 1.992069901023607)	(47.0, 0.9371998375755886)	(48.0, 0.9410866354486036)	(49.0, 0.8172594465737874)	(50.0, 0.8464472839514227)	(51.0, 0.6129445849303405)	(52.0, 0.4086297232868937)	(53.0, 0.5618658695194787)	(54.0, 0.0)	(55.0, 0.0)	(56.0, 0.0)	(57.0, 0.0)	(58.0, 0.0)	(59.0, 0.0)	(60.0, 0.0)	(61.0, 0.0)	(62.0, 0.0)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
FAY99780_pass_barcode01_98e12ebb_5ad7f319_10	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.1166458096700155)	(27.0, 0.3790988814275504)	(28.0, 1.5260279497143103)	(29.0, 1.2384404468354866)	(30.0, 0.6345783897939442)	(31.0, 0.8846517013139047)	(32.0, 2.343771144061088)	(33.0, 4.046680458449424)	(34.0, 3.937268724177887)	(35.0, 6.023756655876165)	(36.0, 9.291957843272138)	(37.0, 11.171870283255377)	(38.0, 12.774670472043395)	(39.0, 10.758845123477895)	(40.0, 8.307605645395016)	(41.0, 6.450525265996922)	(42.0, 5.622798395170432)	(43.0, 3.3876909211385335)	(44.0, 1.7675952526186411)	(45.0, 2.261299439973229)	(46.0, 1.528060106677203)	(47.0, 1.160903534334916)	(48.0, 1.0618934601745338)	(49.0, 0.9623279297776278)	(50.0, 0.5117140578976275)	(51.0, 0.21385065106169507)	(52.0, 0.0)	(53.0, 0.0)	(54.0, 0.35236755004483844)	(55.0, 0.21385065106169507)	(56.0, 0.0)	(57.0, 0.21385065106169507)	(58.0, 0.0)	(59.0, 0.0)	(60.0, 0.0)	(61.0, 0.0)	(62.0, 0.21385065106169507)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.3207759765925426)	(73.0, 0.3207759765925426)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
FAY99780_pass_barcode01_98e12ebb_5ad7f319_100	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.22695840175976553)	(28.0, 0.05062822740185038)	(29.0, 0.3388639311328395)	(30.0, 1.1088348895359807)	(31.0, 2.093466338343694)	(32.0, 4.089593526353482)	(33.0, 4.555987233156874)	(34.0, 2.3785769412515543)	(35.0, 5.559104915650916)	(36.0, 8.646937658172666)	(37.0, 12.049308489176354)	(38.0, 11.573182126709698)	(39.0, 9.390304055060273)	(40.0, 8.292435562261092)	(41.0, 6.001981726402179)	(42.0, 5.943515771934348)	(43.0, 7.154813241335785)	(44.0, 4.170651339289376)	(45.0, 1.2943073459810712)	(46.0, 0.022105282386723407)	(47.0, 0.0)	(48.0, 0.5231583498191206)	(49.0, 0.07473690711701723)	(50.0, 0.07473690711701723)	(51.0, 0.0)	(52.0, 0.6801058547648569)	(53.0, 0.5231583498191206)	(54.0, 0.0)	(55.0, 0.0)	(56.0, 0.17438611660637354)	(57.0, 0.0)	(58.0, 0.784737524728681)	(59.0, 0.784737524728681)	(60.0, 0.3923687623643405)	(61.0, 0.0)	(62.0, 0.0)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.5231583498191206)	(75.0, 0.5231583498191206)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
FAY99780_pass_barcode01_98e12ebb_5ad7f319_101	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.3548710129824683)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.7097420259649366)	(28.0, 0.7272665204332067)	(29.0, 0.7727139501905999)	(30.0, 0.5407558293066184)	(31.0, 1.7775118553922145)	(32.0, 2.0801506473042144)	(33.0, 3.302464077594519)	(34.0, 3.870515658003807)	(35.0, 6.980692334469714)	(36.0, 8.01562407893272)	(37.0, 9.673448013554948)	(38.0, 10.316496405509916)	(39.0, 12.432962280796634)	(40.0, 9.267356517152555)	(41.0, 6.472263038550382)	(42.0, 4.7989687812242545)	(43.0, 5.898232758635883)	(44.0, 3.725070269609909)	(45.0, 2.1765422129591387)	(46.0, 1.7643183089896048)	(47.0, 1.230219511672557)	(48.0, 0.9936388363509112)	(49.0, 0.7555318340917067)	(50.0, 0.12904400472089755)	(51.0, 0.3548710129824683)	(52.0, 0.0)	(53.0, 0.2027834359899819)	(54.0, 0.0)	(55.0, 0.2027834359899819)	(56.0, 0.0)	(57.0, 0.0)	(58.0, 0.0)	(59.0, 0.0)	(60.0, 0.473161350643291)	(61.0, 0.0)	(62.0, 0.0)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
FAY99780_pass_barcode01_98e12ebb_5ad7f319_102	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.8895556531036137)	(25.0, 0.8895556531036137)	(26.0, 0.0)	(27.0, 0.16173739147338434)	(28.0, 0.16173739147338434)	(29.0, 0.44477782655180687)	(30.0, 1.7131777112646094)	(31.0, 1.867406015411885)	(32.0, 2.5964560158837706)	(33.0, 2.3314242589487684)	(34.0, 3.2458899982577534)	(35.0, 4.818863536537415)	(36.0, 6.9905783507660635)	(37.0, 10.973265908002523)	(38.0, 14.263801987874361)	(39.0, 10.831530924702184)	(40.0, 8.368027004220883)	(41.0, 6.603259160221113)	(42.0, 7.5690014356583095)	(43.0, 4.104984849700868)	(44.0, 2.399104640188534)	(45.0, 0.8895556531036137)	(46.0, 2.6686669593108414)	(47.0, 2.3721484082763036)	(48.0, 0.8154260153449793)	(49.0, 0.04339295868798116)	(50.0, 0.44477782655180687)	(51.0, 0.0)	(52.0, 0.5930371020690759)	(53.0, 0.5930371020690759)	(54.0, 0.0)	(55.0, 0.0)	(56.0, 0.0)	(57.0, 0.0)	(58.0, 0.0)	(59.0, 0.0)	(60.0, 0.0)	(61.0, 0.0)	(62.0, 0.0)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.3558222612414455)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
FAY99780_pass_barcode01_98e12ebb_5ad7f319_103	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.4942125732612267)	(27.0, 0.04782702321882839)	(28.0, 0.024305536389896396)	(29.0, 1.2349965710607926)	(30.0, 1.5759404660769294)	(31.0, 1.279547955183898)	(32.0, 1.5283055713986784)	(33.0, 3.5740503919067415)	(34.0, 4.298868099621399)	(35.0, 4.20472313586338)	(36.0, 7.360110425768854)	(37.0, 9.004011971922608)	(38.0, 11.804616281911606)	(39.0, 11.741916171183679)	(40.0, 12.436901840759845)	(41.0, 8.442251055421792)	(42.0, 5.769348662690073)	(43.0, 4.418566473337985)	(44.0, 1.9856755175674285)	(45.0, 1.3815487843438838)	(46.0, 0.6289978205142884)	(47.0, 1.1108550794439846)	(48.0, 0.0)	(49.0, 1.3173653332709971)	(50.0, 1.9238989459097755)	(51.0, 1.1232103937755151)	(52.0, 0.0)	(53.0, 0.13478524725306182)	(54.0, 0.4942125732612267)	(55.0, 0.4942125732612267)	(56.0, 0.0)	(57.0, 0.0)	(58.0, 0.0)	(59.0, 0.0)	(60.0, 0.0)	(61.0, 0.0)	(62.0, 0.0)	(63.0, 0.0)	(64.0, 0.1647375244204089)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
FAY99780_pass_barcode01_98e12ebb_5ad7f319_104	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.8479835968975179)	(21.0, 1.6959671937950358)	(22.0, 1.6959671937950358)	(23.0, 0.8479835968975179)	(24.0, 0.0)	(25.0, 1.0021624326970668)	(26.0, 1.6959671937950358)	(27.0, 0.8479835968975179)	(28.0, 1.0021624326970668)	(29.0, 0.8479835968975179)	(30.0, 0.0)	(31.0, 0.20032362591694816)	(32.0, 1.1032809898373515)	(33.0, 1.777281652461354)	(34.0, 2.2170604362480884)	(35.0, 5.785849737539909)	(36.0, 8.526713027722668)	(37.0, 9.840687433751349)	(38.0, 11.249598980510097)	(39.0, 9.008981871541293)	(40.0, 8.36923990091347)	(41.0, 5.263220519309534)	(42.0, 9.754326660851856)	(43.0, 6.255940468414543)	(44.0, 1.7524994335882036)	(45.0, 0.7195012337312272)	(46.0, 1.2661137575797041)	(47.0, 1.2848236316629058)	(48.0, 1.130644795863357)	(49.0, 1.9745903756327916)	(50.0, 0.33919343875900715)	(51.0, 0.0)	(52.0, 0.0)	(53.0, 0.0)	(54.0, 0.0)	(55.0, 0.0)	(56.0, 0.0)	(57.0, 0.0)	(58.0, 0.0)	(59.0, 0.0)	(60.0, 0.0)	(61.0, 0.0)	(62.0, 0.0)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 0.8479835968975179)	(66.0, 0.8479835968975179)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
FAY99780_pass_barcode01_98e12ebb_5ad7f319_105	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.42583546712740256)	(28.0, 0.41048465674874623)	(29.0, 0.7999093463686382)	(30.0, 1.321524550397597)	(31.0, 1.3103050218486487)	(32.0, 1.6174466924073347)	(33.0, 3.0331139749583675)	(34.0, 4.176177898581012)	(35.0, 4.408866998148716)	(36.0, 7.790673063367763)	(37.0, 10.369920860601816)	(38.0, 12.470058105001717)	(39.0, 9.994320978034784)	(40.0, 6.656118035422466)	(41.0, 6.721031893627972)	(42.0, 6.974804205614669)	(43.0, 5.33797726365489)	(44.0, 4.252841227257796)	(45.0, 4.386523969877119)	(46.0, 3.0361709956071055)	(47.0, 1.3364342416561188)	(48.0, 1.5959360361524528)	(49.0, 0.7785053834890014)	(50.0, 0.5449537684423009)	(51.0, 0.05190035889926675)	(52.0, 0.0)	(53.0, 0.09908250335314564)	(54.0, 0.09908250335314564)	(55.0, 0.0)	(56.0, 0.0)	(57.0, 0.0)	(58.0, 0.0)	(59.0, 0.0)	(60.0, 0.0)	(61.0, 0.0)	(62.0, 0.0)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
FAY99780_pass_barcode01_98e12ebb_5ad7f319_106	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.6294916992511801)	(26.0, 0.9013176602914625)	(27.0, 0.0)	(28.0, 0.4291988858530774)	(29.0, 0.9934338942874564)	(30.0, 1.47040359042258)	(31.0, 2.0164433753007733)	(32.0, 2.169742606574718)	(33.0, 2.31831977724121)	(34.0, 3.098511083249151)	(35.0, 6.7190134838619215)	(36.0, 10.477328586476906)	(37.0, 10.00061697963535)	(38.0, 10.836263797790972)	(39.0, 11.272180169558244)	(40.0, 7.266874669353716)	(41.0, 7.10419300132336)	(42.0, 6.097862398074751)	(43.0, 6.386376310650342)	(44.0, 2.781105669484493)	(45.0, 1.5037857259889302)	(46.0, 2.4550176270796022)	(47.0, 1.0041891392816447)	(48.0, 0.809346470465803)	(49.0, 0.9442375488767702)	(50.0, 0.31474584962559005)	(51.0, 0.0)	(52.0, 0.0)	(53.0, 0.0)	(54.0, 0.0)	(55.0, 0.0)	(56.0, 0.0)	(57.0, 0.0)	(58.0, 0.0)	(59.0, 0.0)	(60.0, 0.0)	(61.0, 0.0)	(62.0, 0.0)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
