Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
FAY99780_pass_barcode01_98e12ebb_5ad7f319_0	(13.0, 1.0)	(14.0, 0.0)	(15.0, 8.0)	(16.0, 6.0)	(17.0, 8.0)	(18.0, 7.0)	(19.0, 11.0)	(20.0, 17.0)	(21.0, 15.0)	(22.0, 24.0)	(23.0, 27.0)	(24.0, 40.0)	(25.0, 21.0)	(26.0, 32.0)	(27.0, 39.0)	(28.0, 50.0)	(29.0, 61.0)	(30.0, 85.0)	(31.0, 81.0)	(32.0, 94.0)	(33.0, 87.0)	(34.0, 46.0)	(35.0, 22.0)	(36.0, 14.0)	(37.0, 6.0)	(38.0, 4.0)	(39.0, 0.0)	(40.0, 0.0)	(41.0, 1.0)							
FAY99780_pass_barcode01_98e12ebb_5ad7f319_1	(14.0, 2.0)	(15.0, 6.0)	(16.0, 7.0)	(17.0, 19.0)	(18.0, 18.0)	(19.0, 26.0)	(20.0, 30.0)	(21.0, 35.0)	(22.0, 40.0)	(23.0, 50.0)	(24.0, 47.0)	(25.0, 45.0)	(26.0, 55.0)	(27.0, 63.0)	(28.0, 78.0)	(29.0, 95.0)	(30.0, 121.0)	(31.0, 152.0)	(32.0, 136.0)	(33.0, 119.0)	(34.0, 73.0)	(35.0, 27.0)	(36.0, 8.0)	(37.0, 6.0)	(38.0, 4.0)											
FAY99780_pass_barcode01_98e12ebb_5ad7f319_10	(13.0, 2.0)	(14.0, 8.0)	(15.0, 6.0)	(16.0, 12.0)	(17.0, 17.0)	(18.0, 13.0)	(19.0, 17.0)	(20.0, 35.0)	(21.0, 29.0)	(22.0, 39.0)	(23.0, 42.0)	(24.0, 30.0)	(25.0, 46.0)	(26.0, 58.0)	(27.0, 81.0)	(28.0, 111.0)	(29.0, 130.0)	(30.0, 153.0)	(31.0, 188.0)	(32.0, 185.0)	(33.0, 164.0)	(34.0, 99.0)	(35.0, 34.0)	(36.0, 17.0)	(37.0, 5.0)	(38.0, 4.0)	(39.0, 1.0)									
FAY99780_pass_barcode01_98e12ebb_5ad7f319_100	(14.0, 1.0)	(15.0, 3.0)	(16.0, 3.0)	(17.0, 8.0)	(18.0, 8.0)	(19.0, 12.0)	(20.0, 18.0)	(21.0, 20.0)	(22.0, 17.0)	(23.0, 12.0)	(24.0, 22.0)	(25.0, 26.0)	(26.0, 35.0)	(27.0, 47.0)	(28.0, 48.0)	(29.0, 59.0)	(30.0, 73.0)	(31.0, 62.0)	(32.0, 67.0)	(33.0, 33.0)	(34.0, 23.0)	(35.0, 9.0)	(36.0, 3.0)	(37.0, 2.0)	(38.0, 1.0)	(39.0, 1.0)										
FAY99780_pass_barcode01_98e12ebb_5ad7f319_101	(13.0, 1.0)	(14.0, 0.0)	(15.0, 1.0)	(16.0, 7.0)	(17.0, 7.0)	(18.0, 9.0)	(19.0, 15.0)	(20.0, 16.0)	(21.0, 16.0)	(22.0, 8.0)	(23.0, 19.0)	(24.0, 19.0)	(25.0, 24.0)	(26.0, 48.0)	(27.0, 45.0)	(28.0, 51.0)	(29.0, 66.0)	(30.0, 85.0)	(31.0, 67.0)	(32.0, 79.0)	(33.0, 35.0)	(34.0, 28.0)	(35.0, 10.0)	(36.0, 8.0)	(37.0, 2.0)	(38.0, 1.0)										
FAY99780_pass_barcode01_98e12ebb_5ad7f319_102	(13.0, 1.0)	(14.0, 1.0)	(15.0, 3.0)	(16.0, 3.0)	(17.0, 3.0)	(18.0, 4.0)	(19.0, 12.0)	(20.0, 14.0)	(21.0, 17.0)	(22.0, 13.0)	(23.0, 20.0)	(24.0, 16.0)	(25.0, 16.0)	(26.0, 42.0)	(27.0, 35.0)	(28.0, 45.0)	(29.0, 52.0)	(30.0, 80.0)	(31.0, 70.0)	(32.0, 52.0)	(33.0, 34.0)	(34.0, 15.0)	(35.0, 8.0)	(36.0, 3.0)												
FAY99780_pass_barcode01_98e12ebb_5ad7f319_103	(14.0, 3.0)	(15.0, 5.0)	(16.0, 10.0)	(17.0, 10.0)	(18.0, 11.0)	(19.0, 12.0)	(20.0, 19.0)	(21.0, 13.0)	(22.0, 21.0)	(23.0, 15.0)	(24.0, 27.0)	(25.0, 22.0)	(26.0, 45.0)	(27.0, 51.0)	(28.0, 62.0)	(29.0, 64.0)	(30.0, 78.0)	(31.0, 72.0)	(32.0, 64.0)	(33.0, 43.0)	(34.0, 10.0)	(35.0, 9.0)	(36.0, 1.0)	(37.0, 2.0)	(38.0, 0.0)	(39.0, 1.0)	(40.0, 1.0)									
FAY99780_pass_barcode01_98e12ebb_5ad7f319_104	(13.0, 1.0)	(14.0, 2.0)	(15.0, 1.0)	(16.0, 6.0)	(17.0, 3.0)	(18.0, 2.0)	(19.0, 6.0)	(20.0, 7.0)	(21.0, 10.0)	(22.0, 15.0)	(23.0, 18.0)	(24.0, 16.0)	(25.0, 24.0)	(26.0, 17.0)	(27.0, 30.0)	(28.0, 37.0)	(29.0, 53.0)	(30.0, 61.0)	(31.0, 58.0)	(32.0, 47.0)	(33.0, 36.0)	(34.0, 20.0)	(35.0, 7.0)	(36.0, 4.0)	(37.0, 0.0)	(38.0, 1.0)										
FAY99780_pass_barcode01_98e12ebb_5ad7f319_105	(13.0, 1.0)	(14.0, 4.0)	(15.0, 4.0)	(16.0, 4.0)	(17.0, 5.0)	(18.0, 10.0)	(19.0, 12.0)	(20.0, 13.0)	(21.0, 7.0)	(22.0, 28.0)	(23.0, 32.0)	(24.0, 25.0)	(25.0, 32.0)	(26.0, 29.0)	(27.0, 57.0)	(28.0, 51.0)	(29.0, 59.0)	(30.0, 106.0)	(31.0, 81.0)	(32.0, 96.0)	(33.0, 73.0)	(34.0, 32.0)	(35.0, 11.0)	(36.0, 1.0)	(37.0, 3.0)											
FAY99780_pass_barcode01_98e12ebb_5ad7f319_106	(13.0, 2.0)	(14.0, 1.0)	(15.0, 2.0)	(16.0, 4.0)	(17.0, 9.0)	(18.0, 10.0)	(19.0, 19.0)	(20.0, 10.0)	(21.0, 15.0)	(22.0, 21.0)	(23.0, 16.0)	(24.0, 22.0)	(25.0, 32.0)	(26.0, 34.0)	(27.0, 45.0)	(28.0, 55.0)	(29.0, 75.0)	(30.0, 66.0)	(31.0, 94.0)	(32.0, 79.0)	(33.0, 61.0)	(34.0, 31.0)	(35.0, 15.0)	(36.0, 4.0)	(37.0, 3.0)	(38.0, 2.0)										
