Sample	Unique Reads	Duplicate Reads
FAY99780_pass_barcode01_98e12ebb_5ad7f319_0	807.0	0.0
FAY99780_pass_barcode01_98e12ebb_5ad7f319_1	1262.0	0.0
FAY99780_pass_barcode01_98e12ebb_5ad7f319_10	1526.0	0.0
FAY99780_pass_barcode01_98e12ebb_5ad7f319_100	613.0	0.0
FAY99780_pass_barcode01_98e12ebb_5ad7f319_101	667.0	0.0
FAY99780_pass_barcode01_98e12ebb_5ad7f319_102	559.0	0.0
FAY99780_pass_barcode01_98e12ebb_5ad7f319_103	671.0	0.0
FAY99780_pass_barcode01_98e12ebb_5ad7f319_104	482.0	0.0
FAY99780_pass_barcode01_98e12ebb_5ad7f319_105	776.0	0.0
FAY99780_pass_barcode01_98e12ebb_5ad7f319_106	727.0	0.0
FAY99780_pass_barcode01_98e12ebb_5ad7f319_107	707.0	0.0
FAY99780_pass_barcode01_98e12ebb_5ad7f319_108	619.0	0.0
FAY99780_pass_barcode01_98e12ebb_5ad7f319_109	597.0	0.0
FAY99780_pass_barcode01_98e12ebb_5ad7f319_11	1510.0	0.0
FAY99780_pass_barcode01_98e12ebb_5ad7f319_110	623.0	0.0
FAY99780_pass_barcode01_98e12ebb_5ad7f319_111	626.0	0.0
FAY99780_pass_barcode01_98e12ebb_5ad7f319_112	654.0	0.0
FAY99780_pass_barcode01_98e12ebb_5ad7f319_113	422.0	0.0
FAY99780_pass_barcode01_98e12ebb_5ad7f319_114	749.0	0.0
FAY99780_pass_barcode01_98e12ebb_5ad7f319_115	653.0	0.0
FAY99780_pass_barcode01_98e12ebb_5ad7f319_116	671.0	0.0
FAY99780_pass_barcode01_98e12ebb_5ad7f319_117	655.0	0.0
FAY99780_pass_barcode01_98e12ebb_5ad7f319_118	629.0	0.0
FAY99780_pass_barcode01_98e12ebb_5ad7f319_119	589.0	0.0
FAY99780_pass_barcode01_98e12ebb_5ad7f319_12	1339.0	0.0
FAY99780_pass_barcode01_98e12ebb_5ad7f319_120	576.0	0.0
FAY99780_pass_barcode01_98e12ebb_5ad7f319_121	529.0	0.0
FAY99780_pass_barcode01_98e12ebb_5ad7f319_122	496.0	0.0
FAY99780_pass_barcode01_98e12ebb_5ad7f319_123	444.0	0.0
FAY99780_pass_barcode01_98e12ebb_5ad7f319_124	626.0	0.0
FAY99780_pass_barcode01_98e12ebb_5ad7f319_125	703.0	0.0
FAY99780_pass_barcode01_98e12ebb_5ad7f319_126	610.0	0.0
FAY99780_pass_barcode01_98e12ebb_5ad7f319_127	573.0	0.0
FAY99780_pass_barcode01_98e12ebb_5ad7f319_128	535.0	0.0
FAY99780_pass_barcode01_98e12ebb_5ad7f319_129	542.0	0.0
FAY99780_pass_barcode01_98e12ebb_5ad7f319_13	1496.0	1.0
FAY99780_pass_barcode01_98e12ebb_5ad7f319_130	584.0	0.0
FAY99780_pass_barcode01_98e12ebb_5ad7f319_131	522.0	0.0
FAY99780_pass_barcode01_98e12ebb_5ad7f319_132	328.0	0.0
FAY99780_pass_barcode01_98e12ebb_5ad7f319_133	681.0	0.0
FAY99780_pass_barcode01_98e12ebb_5ad7f319_134	534.0	0.0
FAY99780_pass_barcode01_98e12ebb_5ad7f319_135	597.0	0.0
FAY99780_pass_barcode01_98e12ebb_5ad7f319_136	606.0	0.0
FAY99780_pass_barcode01_98e12ebb_5ad7f319_137	544.0	0.0
FAY99780_pass_barcode01_98e12ebb_5ad7f319_138	524.0	0.0
FAY99780_pass_barcode01_98e12ebb_5ad7f319_139	502.0	0.0
FAY99780_pass_barcode01_98e12ebb_5ad7f319_14	1368.0	0.0
FAY99780_pass_barcode01_98e12ebb_5ad7f319_140	551.0	0.0
FAY99780_pass_barcode01_98e12ebb_5ad7f319_141	472.0	0.0
FAY99780_pass_barcode01_98e12ebb_5ad7f319_142	400.0	0.0
FAY99780_pass_barcode01_98e12ebb_5ad7f319_143	534.0	0.0
FAY99780_pass_barcode01_98e12ebb_5ad7f319_144	500.0	0.0
FAY99780_pass_barcode01_98e12ebb_5ad7f319_145	469.0	0.0
FAY99780_pass_barcode01_98e12ebb_5ad7f319_146	530.0	0.0
FAY99780_pass_barcode01_98e12ebb_5ad7f319_147	511.0	0.0
FAY99780_pass_barcode01_98e12ebb_5ad7f319_148	447.0	0.0
FAY99780_pass_barcode01_98e12ebb_5ad7f319_149	432.0	0.0
FAY99780_pass_barcode01_98e12ebb_5ad7f319_15	1428.0	0.0
FAY99780_pass_barcode01_98e12ebb_5ad7f319_150	416.0	0.0
FAY99780_pass_barcode01_98e12ebb_5ad7f319_151	503.0	0.0
FAY99780_pass_barcode01_98e12ebb_5ad7f319_152	596.0	0.0
FAY99780_pass_barcode01_98e12ebb_5ad7f319_153	57.0	0.0
FAY99780_pass_barcode01_98e12ebb_5ad7f319_154	4.0	0.0
FAY99780_pass_barcode01_98e12ebb_5ad7f319_16	1399.0	0.0
