Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
FAY99780_pass_barcode01_98e12ebb_5ad7f319_0	FAY99780_pass_barcode01_98e12ebb_5ad7f319_0.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	807.0	3.4 Mbp	0.0	35-54811	37.0	100.0	4448.578686493184	999	pass	pass	pass	warn	fail	pass	warn	pass	warn	pass
FAY99780_pass_barcode01_98e12ebb_5ad7f319_1	FAY99780_pass_barcode01_98e12ebb_5ad7f319_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1262.0	7 Mbp	0.0	18-57935	37.0	100.0	5739.5701267828845	999	pass	pass	pass	warn	fail	pass	warn	pass	pass	pass
FAY99780_pass_barcode01_98e12ebb_5ad7f319_10	FAY99780_pass_barcode01_98e12ebb_5ad7f319_10.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1526.0	10 Mbp	0.0	46-53972	37.0	100.0	6669.207732634338	2999	pass	pass	pass	pass	fail	pass	warn	pass	pass	pass
FAY99780_pass_barcode01_98e12ebb_5ad7f319_100	FAY99780_pass_barcode01_98e12ebb_5ad7f319_100.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	613.0	4 Mbp	0.0	58-48806	37.0	100.0	6659.212887438825	2499	pass	pass	pass	warn	fail	pass	warn	pass	warn	pass
FAY99780_pass_barcode01_98e12ebb_5ad7f319_101	FAY99780_pass_barcode01_98e12ebb_5ad7f319_101.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	667.0	3.8 Mbp	0.0	106-45459	37.0	100.0	5753.968515742129	2499	pass	pass	pass	warn	warn	pass	warn	pass	warn	pass
FAY99780_pass_barcode01_98e12ebb_5ad7f319_102	FAY99780_pass_barcode01_98e12ebb_5ad7f319_102.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	559.0	3.7 Mbp	0.0	107-54042	37.0	100.0	6811.703935599285	2999	pass	pass	pass	warn	fail	pass	warn	pass	warn	pass
FAY99780_pass_barcode01_98e12ebb_5ad7f319_103	FAY99780_pass_barcode01_98e12ebb_5ad7f319_103.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	671.0	6.4 Mbp	0.0	103-130626	37.0	100.0	10148.999254843517	2499	pass	pass	pass	warn	fail	pass	warn	pass	warn	pass
FAY99780_pass_barcode01_98e12ebb_5ad7f319_104	FAY99780_pass_barcode01_98e12ebb_5ad7f319_104.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	482.0	2.6 Mbp	0.0	28-52484	37.0	100.0	5620.336099585063	999	pass	pass	pass	warn	fail	pass	warn	pass	warn	pass
FAY99780_pass_barcode01_98e12ebb_5ad7f319_105	FAY99780_pass_barcode01_98e12ebb_5ad7f319_105.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	776.0	4.5 Mbp	0.0	39-55882	37.0	100.0	5983.961340206186	2999	pass	pass	pass	warn	warn	pass	warn	pass	warn	pass
FAY99780_pass_barcode01_98e12ebb_5ad7f319_106	FAY99780_pass_barcode01_98e12ebb_5ad7f319_106.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	727.0	4.4 Mbp	0.0	77-50970	37.0	100.0	6143.222145804677	2499	pass	pass	pass	warn	warn	pass	warn	pass	warn	pass
