Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
FAY99780_pass_barcode01_98e12ebb_5ad7f319_0	0.0	37.0	4448.578686493184	999	10.0	0.000807
FAY99780_pass_barcode01_98e12ebb_5ad7f319_1	0.0	37.0	5739.5701267828845	999	10.0	0.0012619999999999999
FAY99780_pass_barcode01_98e12ebb_5ad7f319_10	0.0	37.0	6669.207732634338	2999	10.0	0.001526
FAY99780_pass_barcode01_98e12ebb_5ad7f319_100	0.0	37.0	6659.212887438825	2499	10.0	0.0006129999999999999
FAY99780_pass_barcode01_98e12ebb_5ad7f319_101	0.0	37.0	5753.968515742129	2499	0.0	0.000667
FAY99780_pass_barcode01_98e12ebb_5ad7f319_102	0.0	37.0	6811.703935599285	2999	10.0	0.0005589999999999999
FAY99780_pass_barcode01_98e12ebb_5ad7f319_103	0.0	37.0	10148.999254843517	2499	10.0	0.0006709999999999999
FAY99780_pass_barcode01_98e12ebb_5ad7f319_104	0.0	37.0	5620.336099585063	999	10.0	0.00048199999999999995
FAY99780_pass_barcode01_98e12ebb_5ad7f319_105	0.0	37.0	5983.961340206186	2999	0.0	0.000776
FAY99780_pass_barcode01_98e12ebb_5ad7f319_106	0.0	37.0	6143.222145804677	2499	0.0	0.000727
FAY99780_pass_barcode01_98e12ebb_5ad7f319_107	0.0	37.0	9704.335926449789	2499	10.0	0.000707
FAY99780_pass_barcode01_98e12ebb_5ad7f319_108	0.0	37.0	6479.777867528272	2499	10.0	0.000619
FAY99780_pass_barcode01_98e12ebb_5ad7f319_109	0.0	37.0	5527.7470686767165	2499	0.0	0.000597
FAY99780_pass_barcode01_98e12ebb_5ad7f319_11	0.0	37.0	7300.640397350993	2499	10.0	0.0015099999999999998
FAY99780_pass_barcode01_98e12ebb_5ad7f319_110	0.0	37.0	6459.827447833066	2499	0.0	0.000623
FAY99780_pass_barcode01_98e12ebb_5ad7f319_111	0.0	37.0	8442.33945686901	2999	10.0	0.0006259999999999999
FAY99780_pass_barcode01_98e12ebb_5ad7f319_112	0.0	37.0	7420.5925076452595	2999	10.0	0.000654
FAY99780_pass_barcode01_98e12ebb_5ad7f319_113	0.0	37.0	6304.452606635071	2499	10.0	0.00042199999999999996
FAY99780_pass_barcode01_98e12ebb_5ad7f319_114	0.0	37.0	5830.0493991989315	2499	10.0	0.000749
FAY99780_pass_barcode01_98e12ebb_5ad7f319_115	0.0	37.0	5762.277947932619	2499	10.0	0.0006529999999999999
FAY99780_pass_barcode01_98e12ebb_5ad7f319_116	0.0	37.0	9356.04918032787	2999	10.0	0.0006709999999999999
FAY99780_pass_barcode01_98e12ebb_5ad7f319_117	0.0	37.0	6485.0664122137405	2999	10.0	0.000655
FAY99780_pass_barcode01_98e12ebb_5ad7f319_118	0.15898251192368207	37.0	6377.955484896662	2499	0.0	0.000629
FAY99780_pass_barcode01_98e12ebb_5ad7f319_119	0.0	37.0	6174.831069609508	2499	10.0	0.000589
FAY99780_pass_barcode01_98e12ebb_5ad7f319_12	0.0	37.0	7058.939507094847	2999	10.0	0.001339
FAY99780_pass_barcode01_98e12ebb_5ad7f319_120	0.0	37.0	10561.782118055555	2499	0.0	0.000576
FAY99780_pass_barcode01_98e12ebb_5ad7f319_121	0.0	37.0	5977.518903591683	2499	10.0	0.000529
FAY99780_pass_barcode01_98e12ebb_5ad7f319_122	0.0	37.0	5601.683467741936	2999	10.0	0.000496
FAY99780_pass_barcode01_98e12ebb_5ad7f319_123	0.0	37.0	4852.405405405405	1499	10.0	0.000444
FAY99780_pass_barcode01_98e12ebb_5ad7f319_124	0.0	37.0	6008.610223642173	2499	10.0	0.0006259999999999999
FAY99780_pass_barcode01_98e12ebb_5ad7f319_125	0.0	37.0	9824.325035561878	2499	10.0	0.000703
FAY99780_pass_barcode01_98e12ebb_5ad7f319_126	0.0	37.0	6408.1590163934425	2999	10.0	0.00061
FAY99780_pass_barcode01_98e12ebb_5ad7f319_127	0.0	37.0	5783.114310645724	2499	10.0	0.0005729999999999999
FAY99780_pass_barcode01_98e12ebb_5ad7f319_128	0.0	37.0	6312.402803738318	2499	0.0	0.000535
FAY99780_pass_barcode01_98e12ebb_5ad7f319_129	0.0	37.0	5657.429889298893	2499	0.0	0.000542
FAY99780_pass_barcode01_98e12ebb_5ad7f319_13	0.06680026720107435	37.0	9222.355043420173	2499	10.0	0.0014969999999999998
