node_name	passing_clusters	all_clusters	sequence_id	file_name	contig_name	length	trusted	cluster_weight	consensus_weight
1__canu_01.fasta__tig00000001__2800832_bp	1	1	1	canu_01.fasta	tig00000001	2800832	false	1	1
2__canu_01.fasta__tig00000002__114874_bp	14	14	2	canu_01.fasta	tig00000002	114874	false	1	1
3__canu_01.fasta__tig00000003__42972_bp	18	18	3	canu_01.fasta	tig00000003	42972	false	1	1
4__canu_02.fasta__tig00000002__114874_bp	14	14	4	canu_02.fasta	tig00000002	114874	false	1	1
5__canu_02.fasta__tig00000003__42968_bp	18	18	5	canu_02.fasta	tig00000003	42968	false	1	1
6__canu_02.fasta__tig00000004__2800761_bp	1	1	6	canu_02.fasta	tig00000004	2800761	false	1	1
7__canu_03.fasta__tig00000001__2800780_bp	1	1	7	canu_03.fasta	tig00000001	2800780	false	1	1
8__canu_03.fasta__tig00000002__114873_bp	14	14	8	canu_03.fasta	tig00000002	114873	false	1	1
9__canu_03.fasta__tig00000003__42973_bp	18	18	9	canu_03.fasta	tig00000003	42973	false	1	1
10__canu_04.fasta__tig00000002__114875_bp	14	14	10	canu_04.fasta	tig00000002	114875	false	1	1
11__canu_04.fasta__tig00000003__42971_bp	18	18	11	canu_04.fasta	tig00000003	42971	false	1	1
12__canu_04.fasta__tig00000004__2802094_bp	1	1	12	canu_04.fasta	tig00000004	2802094	false	1	1
13__flye_01.fasta__contig_1__114881_bp	14	14	13	flye_01.fasta	contig_1	114881	false	1	1
14__flye_01.fasta__contig_3__10441_bp	none	29	14	flye_01.fasta	contig_3	10441	false	1	1
15__flye_01.fasta__contig_4__2802253_bp	1	1	15	flye_01.fasta	contig_4	2802253	false	1	1
16__flye_01.fasta__contig_5__42974_bp	18	18	16	flye_01.fasta	contig_5	42974	false	1	1
17__flye_02.fasta__contig_1__2802245_bp	1	1	17	flye_02.fasta	contig_1	2802245	false	1	1
18__flye_02.fasta__contig_2__114877_bp	14	14	18	flye_02.fasta	contig_2	114877	false	1	1
19__flye_02.fasta__contig_3__42972_bp	18	18	19	flye_02.fasta	contig_3	42972	false	1	1
20__flye_03.fasta__contig_1__2802249_bp	1	1	20	flye_03.fasta	contig_1	2802249	false	1	1
21__flye_03.fasta__contig_2__114875_bp	14	14	21	flye_03.fasta	contig_2	114875	false	1	1
22__flye_03.fasta__contig_3__42974_bp	18	18	22	flye_03.fasta	contig_3	42974	false	1	1
23__flye_04.fasta__contig_1__42974_bp	18	18	23	flye_04.fasta	contig_1	42974	false	1	1
24__flye_04.fasta__contig_2__114876_bp	14	14	24	flye_04.fasta	contig_2	114876	false	1	1
25__flye_04.fasta__contig_3__2802240_bp	1	1	25	flye_04.fasta	contig_3	2802240	false	1	1
26__metamdbg_01.fasta__ctg0__2036340_bp	none	3	26	metamdbg_01.fasta	ctg0	2036340	false	1	1
27__metamdbg_01.fasta__ctg1__8582_bp	none	31	27	metamdbg_01.fasta	ctg1	8582	false	1	1
28__metamdbg_01.fasta__ctg4__33180_bp	none	22	28	metamdbg_01.fasta	ctg4	33180	false	1	1
29__metamdbg_01.fasta__ctg8__42982_bp	18	18	29	metamdbg_01.fasta	ctg8	42982	false	1	1
30__metamdbg_01.fasta__ctg9__434950_bp	none	12	30	metamdbg_01.fasta	ctg9	434950	false	1	1
31__metamdbg_01.fasta__ctg10__16167_bp	none	27	31	metamdbg_01.fasta	ctg10	16167	false	1	1
32__metamdbg_01.fasta__ctg11__9136_bp	none	30	32	metamdbg_01.fasta	ctg11	9136	false	1	1
33__metamdbg_01.fasta__ctg12__114880_bp	14	14	33	metamdbg_01.fasta	ctg12	114880	false	1	1
34__metamdbg_01.fasta__ctg14__386919_bp	none	13	34	metamdbg_01.fasta	ctg14	386919	false	1	1
35__metamdbg_01.fasta__ctg15__52801_bp	none	17	35	metamdbg_01.fasta	ctg15	52801	false	1	1
36__metamdbg_01.fasta__ctg16__17775_bp	none	26	36	metamdbg_01.fasta	ctg16	17775	false	1	1
